id,difficulty,category,question,options,correct_answer,explanation,hint
112,Expert,Math,"A monk walks up a mountain starting at 7 AM, reaches the top at 7 PM. Next day at 7 AM he walks down the same path, reaching bottom at 7 PM. Is there a spot he passes at the exact same time both days?","Yes, always|No, never|Only if same speed|Depends on path","Yes, always","Imagine both journeys happening simultaneously on the same day. The two monks must meet at some point, proving there's always such a spot.",Visualize both journeys happening at the same time
113,Expert,Pattern,"What's next: 1, 11, 21, 1211, 111221, ?",211231|312211|131221|312213,312211,"Each number describes the previous: '1' becomes 'one 1' (11), '11' becomes 'two 1s' (21), '21' becomes 'one 2, one 1' (1211), etc. '111221' = three 1s, two 2s, one 1 = 312211.",Each term describes the count and digit of the previous term
114,Expert,Logic,You have two ropes. Each burns in exactly 60 minutes but at non-uniform rates. How do you measure exactly 45 minutes?,"Impossible|Light one end|Light both ends of one, one end of other|Cut the ropes","Light both ends of one, one end of other","Light both ends of rope 1 and one end of rope 2. When rope 1 finishes (30 min), light the other end of rope 2. It will burn for 15 more minutes. Total: 45 minutes.",Lighting both ends makes a rope burn twice as fast
115,Expert,Math,A room has 23 people. What's the approximate probability that two people share the same birthday?,23%|37%|51%|63%,51%,"This is the Birthday Paradox. With 23 people, the probability exceeds 50%. The exact probability is about 50.7%.",This is a famous probability paradox
116,Expert,Logic,"You have 9 coins, one is counterfeit (lighter). Using a balance scale only twice, can you identify the fake?",Yes|No|Only with 3 weighings|Need to know weight difference,Yes,Divide into 3 groups of 3. Weigh two groups. The lighter group (or the unweighed if balanced) contains the fake. Weigh 2 of those 3 coins to identify the fake.,Divide coins into three equal groups
117,Expert,Pattern,"Complete: 8, 5, 4, 9, 1, 7, 6, 3, 2, ?",0|5|8|10,0,"Numbers are sorted alphabetically by their English names: Eight, Five, Four, Nine, One, Seven, Six, Three, Two, Zero.",Think about how these numbers would be arranged alphabetically
118,Expert,Math,"A lily pad patch doubles in size every day. If it takes 48 days to cover a pond, on which day was half the pond covered?",Day 24|Day 40|Day 47|Day 46,Day 47,"Since the patch doubles each day, it was half the final size the day before it covered the entire pond: day 47.","If it doubles daily, work backwards from day 48"
119,Expert,Logic,"Two doors: one to freedom, one to death. Two guards: one always lies, one always tells truth. You can ask one question to one guard. What do you ask?",Which door is safe?|Are you truthful?|What would the other guard say?|Where does this door lead?,What would the other guard say?,Ask either guard: 'Which door would the other guard say leads to freedom?' Then choose the opposite door. Both guards will point to the death door.,Find a question where both guards give the same wrong answer
120,Expert,Math,"In a race, you pass the person in 2nd place. Then you pass the person now in 3rd place. What position are you in?",1st|2nd|3rd|Can't determine,2nd,"After passing the 2nd place person, you're in 2nd. When you then pass the person in 3rd, you're passing someone behind you, so you remain in 2nd place.","After the first overtake, who is in 3rd place?"
121,Expert,Pattern,"Find X: 2 = 6, 3 = 12, 4 = 20, 5 = 30, 6 = X",36|40|42|48,42,"Pattern: n × (n+1). So 2×3=6, 3×4=12, 4×5=20, 5×6=30, 6×7=42.",Multiply each number by its successor
122,Expert,Logic,"A man lives on the 10th floor. Every day he takes the elevator down. Coming back, he takes it to the 7th floor and walks up 3 floors. Why?","Exercise|Elevator broken|He's short, can't reach button 10|Saves electricity","He's short, can't reach button 10","He's too short to reach the 10th floor button, but can reach the 7th. On rainy days, he uses his umbrella to press the 10th floor button.","It's a physical limitation, not a choice"
123,Expert,Math,What's the sum of all numbers from 1 to 100?,5000|5050|5100|10000,5050,Using Gauss's formula: n(n+1)/2 = 100×101/2 = 5050. Or pair them: (1+100)+(2+99)+...+(50+51) = 50 pairs of 101 = 5050.,Pair the numbers from opposite ends
124,Expert,Logic,"A man says: 'Brothers and sisters have I none, but that man's father is my father's son.' Who is 'that man'?",His son|His father|Himself|His nephew,His son,"'My father's son' (with no brothers) = himself. So 'that man's father is myself,' meaning 'that man' is his son.",Work out who 'my father's son' refers to first
125,Expert,Pattern,Solve: O T T F F S S E N ?,T|F|E|S,T,"These are the first letters of numbers: One, Two, Three, Four, Five, Six, Seven, Eight, Nine, Ten.",Think of counting from one to ten
